ID,Mass
L_2_11_2,68.09428
L_2_11_3,73.42424
L_2_11_4,71.28904
L_2_11_5,86.85338
L_2_11_6,71.05544
L_2_11_7,73.40102
L_2_11_8,87.053
L_2_11_9,97.15518
L_2_11_10,77.69522
L_2_12_1,69.60928
L_2_12_2,64.66666
L_2_12_3,67.5552
L_2_12_4,67.43826
L_2_12_5,71.12256
L_2_12_6,71.83706
L_2_12_7,70.83278
L_2_12_8,87.5111
L_2_12_9,62.71256
L_2_12_10,26.75933
L_1_7_1,61.65874
L_1_7_2,58.26032
L_1_7_3,62.3269
L_1_7_4,65.28072
L_1_7_5,66.50722
L_1_7_6,69.06236
L_1_7_7,78.16796
L_1_7_8,68.4461
L_1_7_9,85.38034
L_1_7_10,56.96068
L_1_8_1,56.80707
L_1_8_2,57.11437
L_1_8_3,59.60551
L_1_8_4,63.12442
L_1_8_5,63.9286
L_1_8_6,59.78785
L_1_8_7,64.79312
L_1_8_8,67.72198
L_1_8_9,78.6584
L_1_8_10,66.60814
L_1_9_1,40.09464
L_1_9_2,52.41195
L_1_9_3,60.17258
L_1_9_4,61.66484
L_1_9_5,65.14926
L_1_9_6,71.01828
L_1_9_7,63.45886
L_1_9_8,68.77622
L_1_9_9,69.5416
L_1_9_10,81.56428
L_1_9_11,81.45494
L_1_10_1,41.87858
L_1_10_2,51.23535
L_1_10_3,60.56768
L_1_10_4,63.84332
L_1_10_5,59.83588
L_1_10_6,72.60696
L_1_10_7,62.24374
L_1_10_8,73.7828
L_1_10_9,74.96926
L_1_10_10,67.87188
L_1_10_11,57.44521
L_2_13_1,63.49656
L_2_13_2,61.69364
L_2_13_3,61.0032
L_2_13_4,64.53778
L_2_13_5,59.73161
L_2_13_6,68.17008
L_2_13_7,67.39332
L_2_13_8,66.78934
L_2_13_9,96.1325
L_2_13_10,36.14452
L_2_14_1,53.92418
L_2_14_2,54.72679
L_2_14_3,60.18418
L_2_14_4,64.10948
L_2_14_5,62.25582
L_2_14_6,63.37886
L_2_14_7,66.78964
L_2_14_8,66.02776
L_2_14_9,69.13334
L_2_14_10,75.00622
L_2_14_11,107.8146
L_1_11_1,49.03987
L_1_11_2,53.87652
L_1_11_3,60.5019
L_1_11_4,61.70484
L_1_11_5,65.4767
L_1_11_6,67.33694
L_1_11_7,69.20764
L_1_11_8,72.97274
L_1_11_9,74.64758
L_1_11_10,59.91557
L_1_12_1,42.69645
L_1_12_2,61.0889
L_1_12_3,56.81472
L_1_12_4,59.7151
L_1_12_5,66.9314
L_1_12_6,63.07868
L_1_12_7,64.95238
L_1_12_8,65.76344
L_1_12_9,74.98516
L_1_12_10,83.60514
L_1_12_11,47.50254
L_2_15_1,73.77552
L_2_15_2,59.9816
L_2_15_3,62.22112
L_2_15_4,62.35774
L_2_15_5,61.25332
L_2_15_6,62.70612
L_2_15_7,65.22384
L_2_15_8,74.90374
L_2_15_9,56.58093
L_2_15_10,53.3858
L_2_16_1,62.88138
L_2_16_2,57.4713
L_2_16_3,59.85156
L_2_16_4,69.64108
L_2_16_5,70.96126
L_2_16_6,65.71388
L_2_16_7,68.73502
L_2_16_8,84.03826
L_2_16_9,54.71501
L_2_16_10,44.04919
L_2_17_1,33.70732
L_2_17_2,53.93853
L_2_17_3,60.56534
L_2_17_4,66.55624
L_2_17_5,60.8614
L_2_17_6,69.28002
L_2_17_7,64.33338
L_2_17_8,57.85788
L_2_17_9,89.52128
L_2_17_10,77.1344
L_2_18_1,43.94516
L_2_18_2,52.894
L_2_18_3,61.27368
L_2_18_4,60.92646
L_2_18_5,65.81288
L_2_18_6,66.54456
L_2_18_7,68.9357
L_2_18_8,68.20744
L_2_18_9,72.11608
L_2_18_10,73.3702
L_2_18_11,104.96006
L_blank,2.25318
L_blank,2.40501
L_blank,2.27039
L_blank,2.29853
L_blank,2.29192
L_blank,2.3068
L_blank,2.34328
L_blank,2.29393
L_blank,2.20458
L_blank,2.28864
L_blank,2.28343
L_blank,2.25722
L_blank,2.30071
L_blank,2.30028
L_blank,2.28418
L_blank,2.29924
L_blank,2.28298
L_blank,2.29159
L_blank,2.33435
L_blank,2.29861
L_blank,2.29177
L_blank,2.28776
L_blank,2.29608
L_blank,2.3012
L_blank,2.30686
L_blank,2.31745
L_blank,2.29088
L_blank,2.26288
L_blank,2.28564
L_blank,2.26654
L_blank,2.28318
L_blank,2.311
L_blank,2.29856
L_blank,2.28682
L_blank,2.28583
L_blank,2.2922
L_blank,2.3283
L_blank,2.30403
L_blank,2.30474
L_blank,2.26622
L_blank,2.29196
L_blank,2.30101
L_blank,2.29013
L_blank,2.31584
L_blank,2.28856
L_blank,2.31575
L_blank,2.33572
L_blank,2.32696
L_blank,2.30991
L_blank,2.23453
L_blank,2.3229
L_blank,2.32686
L_blank,2.28587
L_blank,2.29517
L_blank,2.228
L_blank,2.34629
L_blank,2.19967
L_blank,2.24611
L_blank,2.25933
L_blank,2.24407
L_blank,2.22104
L_blank,2.20529
L_blank,2.24922
L_blank,2.2067
L_blank,2.20919
L_blank,2.18092
L_blank,2.20291
L_blank,2.32409
L_blank,2.23336
L_blank,2.26697
L_blank,2.25002
L_blank,2.22017
L_blank,2.21184
L_blank,2.23489
L_blank,2.2274
L_blank,2.28043
L_blank,2.21066
L_blank,2.2972
L_blank,2.3134
L_blank,2.25476
L_blank,2.25736
L_blank,2.21387
L_blank,2.2472
L_blank,2.29215
L_blank,2.2476
L_blank,2.27216
L_blank,2.28821
L_blank,2.28056
L_blank,2.3045
L_blank,2.30366
L_blank,2.2678
L_blank,2.20602
L_blank,2.23684
L_blank,2.23936
L_blank,2.29929
L_blank,2.22245
L_blank,2.306
L_blank,2.20768
L_blank,2.19852
L_blank,2.21301
L_blank,2.26831
L_blank,2.30873
L_blank,2.28484
L_blank,2.2866
L_blank,2.31701
L_blank,2.2463
L_blank,2.27591
L_blank,2.17845
L_blank,2.27743
L_blank,2.24298
L_blank,2.27027
L_blank,2.24397
L_blank,2.22986
L_blank,2.26585
L_blank,2.30687
L_blank,2.34476
L_blank,2.20941
L_blank,2.22737
L_blank,2.19138
L_blank,2.26386
E_C_1_1_1,111.26386
E_C_1_1_2,145.45655
E_C_1_1_3,89.14398
E_C_1_1_4,103.6355
E_C_1_1_5,126.99405
E_C_1_1_6,124.50265
E_C_1_1_7,171.3956
E_C_1_1_8,140.70055
E_C_1_1_9,134.45305
E_C_1_1_10,122.3354
E_C_1_1_11,146.32855
E_C_1_1_12,138.66495
E_C_1_1_13,163.1677
E_C_1_1_14,133.25995
E_C_1_1_15,137.22595
E_C_1_1_16,130.71645
E_C_1_1_17,113.55232
E_C_1_1_18,123.6271
E_C_1_1_19,110.39574
E_C_1_1_20,188.12705
E_C_1_1_21,86.60608
E_C_1_2_1,91.18802
E_C_1_2_2,75.27766
E_C_1_2_3,92.93602
E_C_1_2_4,75.26878
E_C_1_2_5,93.02664
E_C_1_2_6,89.87838
E_C_1_2_7,89.70704
E_C_1_2_8,80.35932
E_C_1_2_9,85.39034
E_C_1_2_10,96.07652
E_C_1_2_11,97.30002
E_C_1_2_12,122.65495
E_C_1_2_13,102.2277
E_C_1_2_14,72.67774
E_C_1_2_15,130.35055
E_C_1_2_16,108.79888
E_C_1_2_17,103.59156
E_C_1_2_18,137.44575
E_C_1_2_19,105.72178
E_C_1_2_20,101.11192
E_C_1_2_21,397.583
E_C_2_1_1,69.3554
E_C_2_1_2,77.95262
E_C_2_1_3,89.37906
E_C_2_1_4,98.37194
E_C_2_1_5,93.45508
E_C_2_1_6,88.93996
E_C_2_1_7,84.09844
E_C_2_1_8,75.60946
E_C_2_1_9,95.16418
E_C_2_1_10,81.75724
E_C_2_1_11,101.93268
E_C_2_1_12,88.53844
E_C_2_1_13,103.56872
E_C_2_1_14,118.60212
E_C_2_1_15,94.43234
E_C_2_1_16,106.34116
E_C_2_1_17,115.40886
E_C_2_1_18,99.44742
E_C_2_1_19,105.75734
E_C_2_1_20,107.37276
E_C_2_1_21,292.382
E_C_2_2_1,41.01502
E_C_2_2_2,76.9612
E_C_2_2_3,95.18722
E_C_2_2_4,82.71088
E_C_2_2_5,90.52172
E_C_2_2_6,84.50904
E_C_2_2_7,85.20688
E_C_2_2_8,95.21554
E_C_2_2_9,94.24544
E_C_2_2_10,94.73676
E_C_2_2_11,101.05888
E_C_2_2_12,117.03466
E_C_2_2_13,110.09774
E_C_2_2_14,102.45848
E_C_2_2_15,106.97668
E_C_2_2_16,126.74275
E_C_2_2_17,92.62008
E_C_2_2_18,100.81476
E_C_2_2_19,96.13084
E_C_2_2_20,99.21356
E_C_2_2_21,467.831
E_C_2_3_1,42.25701
E_C_2_3_2,65.69096
E_C_2_3_3,83.74588
E_C_2_3_4,78.29588
E_C_2_3_5,91.55186
E_C_2_3_6,78.65708
E_C_2_3_7,95.24806
E_C_2_3_8,56.0589
E_C_2_3_9,95.08684
E_C_2_3_10,96.1522
E_C_2_3_11,87.7379
E_C_2_3_12,112.64704
E_C_2_3_13,81.38286
E_C_2_3_14,118.81414
E_C_2_3_15,106.95926
E_C_2_3_16,112.78022
E_C_2_3_17,95.838
E_C_2_3_18,92.74264
E_C_2_3_19,122.77785
E_C_2_3_20,103.39774
E_C_2_3_21,459.734
E_1_1_1,72.68358
E_1_1_2,93.52596
E_1_1_3,84.08536
E_1_1_4,109.62474
E_1_1_5,88.60292
E_1_1_6,90.22612
E_1_1_7,78.01928
E_1_1_8,79.15574
E_1_1_9,96.78578
E_1_1_10,93.7965
E_1_1_11,99.94832
E_1_1_12,105.9006
E_1_1_13,98.0886
E_1_1_14,108.11262
E_1_1_15,90.5996
E_1_1_16,127.8306
E_1_1_17,101.99592
E_1_1_18,103.45374
E_1_1_19,95.60088
E_1_1_20,77.1577
E_1_1_21,738.8
E_1_2_1,126.95175
E_1_2_2,161.4389
E_1_2_3,122.9893
E_1_2_4,113.23962
E_1_2_5,127.52185
E_1_2_6,134.3651
E_1_2_7,117.9862
E_1_2_8,155.2857
E_1_2_9,118.22242
E_1_2_10,92.62414
E_1_2_11,155.4722
E_1_2_12,123.2961
E_1_2_13,125.21165
E_1_2_14,99.15836
E_1_2_15,108.90566
E_1_2_16,134.41655
E_1_2_17,150.83805
E_1_2_18,133.59975
E_1_2_19,140.49165
E_1_2_20,161.7671
E_1_2_21,588.1
E_1_3_1,109.28642
E_1_3_2,79.15156
E_1_3_3,95.4133
E_1_3_4,93.61392
E_1_3_5,91.14944
E_1_3_6,87.74074
E_1_3_7,94.19686
E_1_3_8,79.54408
E_1_3_9,93.17878
E_1_3_10,106.01846
E_1_3_11,96.07286
E_1_3_12,98.1573
E_1_3_13,102.78712
E_1_3_14,110.96746
E_1_3_15,106.53848
E_1_3_16,117.22662
E_1_3_17,137.10075
E_1_3_18,102.65814
E_1_3_19,103.5449
E_1_3_20,106.81356
E_1_3_21,181.09115
E_1_4_1,91.91606
E_1_4_2,118.04746
E_1_4_3,114.4865
E_1_4_4,126.54805
E_1_4_5,118.92862
E_1_4_6,129.6726
E_1_4_7,126.30845
E_1_4_8,152.37815
E_1_4_9,126.4216
E_1_4_10,119.0811
E_1_4_11,123.33795
E_1_4_12,165.09125
E_1_4_13,128.48705
E_1_4_14,145.7722
E_1_4_15,117.70068
E_1_4_16,115.92114
E_1_4_17,148.09795
E_1_4_18,165.34545
E_1_4_19,119.67012
E_1_4_20,146.29235
E_1_4_21,295.454
E_1_5_1,78.56538
E_1_5_2,74.03618
E_1_5_3,86.01484
E_1_5_4,75.56226
E_1_5_5,85.85388
E_1_5_6,87.4508
E_1_5_7,85.33998
E_1_5_8,79.35394
E_1_5_9,90.59478
E_1_5_10,101.74278
E_1_5_11,89.84732
E_1_5_12,127.26765
E_1_5_13,137.4772
E_1_5_14,87.60934
E_1_5_15,100.76828
E_1_5_16,120.38535
E_1_5_17,106.92668
E_1_5_18,102.1555
E_1_5_19,112.91502
E_1_5_20,132.1407
E_1_5_21,352.104
E_1_6_1,146.9179
E_1_6_2,122.94875
E_1_6_3,113.91394
E_1_6_4,117.24804
E_1_6_5,122.37295
E_1_6_6,124.3583
E_1_6_7,103.03534
E_1_6_8,105.76308
E_1_6_9,134.32515
E_1_6_10,124.90465
E_1_6_11,129.30035
E_1_6_12,113.10498
E_1_6_13,119.03428
E_1_6_14,132.2347
E_1_6_15,107.25486
E_1_6_16,123.6228
E_1_6_17,125.1628
E_1_6_18,129.05955
E_1_6_19,116.93002
E_1_6_20,117.06442
E_1_6_21,655.3
E_1_7_1,98.85806
E_1_7_2,78.15112
E_1_7_3,96.04852
E_1_7_4,75.31666
E_1_7_5,85.47026
E_1_7_6,88.16876
E_1_7_7,96.27302
E_1_7_8,104.15988
E_1_7_9,101.8028
E_1_7_10,91.33798
E_1_7_11,97.2502
E_1_7_12,106.69762
E_1_7_13,116.20362
E_1_7_14,118.23314
E_1_7_15,98.78438
E_1_7_16,101.23578
E_1_7_17,109.60318
E_1_7_18,111.01614
E_1_7_19,121.7151
E_1_7_20,118.72198
E_1_7_21,469.777
E_1_8_1,98.6537
E_1_8_2,119.19144
E_1_8_3,101.37835
E_1_8_4,151.44835
E_1_8_5,112.97308
E_1_8_6,124.73815
E_1_8_7,141.3933
E_1_8_8,123.10895
E_1_8_9,123.40235
E_1_8_10,122.39055
E_1_8_11,130.6062
E_1_8_12,124.74455
E_1_8_13,123.6944
E_1_8_14,154.7917
E_1_8_15,144.1377
E_1_8_16,144.1137
E_1_8_17,138.54395
E_1_8_18,149.6846
E_1_8_19,132.79125
E_1_8_20,129.8713
E_1_8_21,791.4
E_1_9_1,106.69762
E_1_9_2,120.69605
E_1_9_3,84.69344
E_1_9_4,75.93342
E_1_9_5,72.80978
E_1_9_6,79.4334
E_1_9_7,70.79318
E_1_9_8,94.4665
E_1_9_9,86.3707
E_1_9_10,104.29748
E_1_9_11,98.66264
E_1_9_12,96.6489
E_1_9_13,97.73208
E_1_9_14,108.04564
E_1_9_15,109.49826
E_1_9_16,95.90648
E_1_9_17,110.36874
E_1_9_18,116.69278
E_1_9_19,98.5073
E_1_9_20,108.61948
E_1_9_21,406.598
E_1_10_1,314.404
E_1_10_2,131.92175
E_1_10_3,136.5672
E_1_10_4,139.85285
E_1_10_5,133.54565
E_1_10_6,117.42522
E_1_10_7,136.6787
E_1_10_8,140.8587
E_1_10_9,133.0736
E_1_10_10,123.7295
E_1_10_11,136.1803
E_1_10_12,111.08056
E_1_10_13,130.842
E_1_10_14,136.41555
E_1_10_15,146.31212
E_1_10_16,114.98062
E_1_10_17,130.70703
E_1_10_18,124.0231
E_1_10_19,133.38355
E_1_10_20,142.86944
E_1_10_21,490.3
E_1_11_1,105.08578
E_1_11_2,80.99284
E_1_11_3,89.43992
E_1_11_4,78.21502
E_1_11_5,82.66784
E_1_11_6,110.97544
E_1_11_7,87.1204
E_1_11_8,92.26976
E_1_11_9,85.16532
E_1_11_10,90.88192
E_1_11_11,89.90478
E_1_11_12,84.50506
E_1_11_13,79.41632
E_1_11_14,104.8917
E_1_11_15,105.01662
E_1_11_16,104.73866
E_1_11_17,104.03646
E_1_11_18,126.40735
E_1_11_19,117.7189
E_1_11_20,114.72154
E_1_11_21,323.213
E_1_12_1,165.15515
E_1_12_2,129.57315
E_1_12_3,165.8748
E_1_12_4,135.60995
E_1_12_5,133.00915
E_1_12_6,128.91525
E_1_12_7,143.36825
E_1_12_8,142.9646
E_1_12_9,133.6175
E_1_12_10,134.46985
E_1_12_11,113.84046
E_1_12_12,130.00275
E_1_12_13,135.26935
E_1_12_14,136.38645
E_1_12_15,118.27776
E_1_12_16,126.54485
E_1_12_17,120.00995
E_1_12_18,109.16336
E_1_12_19,105.41088
E_1_12_20,130.94765
E_1_12_21,588.9
E_1_13_1,106.9138
E_1_13_2,80.15648
E_1_13_3,112.7903
E_1_13_4,60.1776
E_1_13_5,86.13388
E_1_13_6,78.62876
E_1_13_7,114.44722
E_1_13_8,87.75274
E_1_13_9,121.53685
E_1_13_10,85.11048
E_1_13_11,118.79862
E_1_13_12,115.90972
E_1_13_13,107.4917
E_1_13_14,122.68495
E_1_13_15,104.5061
E_1_13_16,101.04286
E_1_13_17,101.91268
E_1_13_18,99.6663
E_1_13_19,135.2782
E_1_13_20,123.94975
E_1_13_21,382.144
E_1_14_1,216.814
E_1_14_2,173.1087
E_1_14_3,153.07815
E_1_14_4,110.23234
E_1_14_5,125.2538
E_1_14_6,122.08565
E_1_14_7,120.26865
E_1_14_8,135.6994
E_1_14_9,139.63445
E_1_14_10,132.78415
E_1_14_11,145.78215
E_1_14_12,141.6406
E_1_14_13,117.5132
E_1_14_14,130.09515
E_1_14_15,140.29355
E_1_14_16,126.26805
E_1_14_17,113.66332
E_1_14_18,115.7244
E_1_14_19,109.50022
E_1_14_20,138.95315
E_1_14_21,554.9
E_1_15_1,192.21745
E_1_15_2,86.11736
E_1_15_3,81.68192
E_1_15_4,71.93152
E_1_15_5,66.11288
E_1_15_6,70.04008
E_1_15_7,65.85898
E_1_15_8,102.09614
E_1_15_9,95.12956
E_1_15_10,111.43894
E_1_15_11,104.63838
E_1_15_12,93.38672
E_1_15_13,138.49685
E_1_15_14,93.97758
E_1_15_15,112.53078
E_1_15_16,103.58486
E_1_15_17,127.1673
E_1_15_18,72.11618
E_1_15_19,123.88695
E_1_15_20,117.3544
E_1_15_21,138.79325
E_2_1_1,229.6
E_2_1_2,125.71935
E_2_1_3,132.7487
E_2_1_4,155.3241
E_2_1_5,106.48254
E_2_1_6,136.3506
E_2_1_7,110.56108
E_2_1_8,150.37575
E_2_1_9,145.07945
E_2_1_10,136.0985
E_2_1_11,135.09445
E_2_1_12,137.71295
E_2_1_13,135.761
E_2_1_14,109.1594
E_2_1_15,130.58715
E_2_1_16,101.80058
E_2_1_17,141.8636
E_2_1_18,144.75845
E_2_1_19,128.29785
E_2_1_20,141.78305
E_2_1_21,134.2375
E_2_2_1,35.31617
E_2_2_2,75.84148
E_2_2_3,75.23876
E_2_2_4,66.2934
E_2_2_5,94.15298
E_2_2_6,79.8703
E_2_2_7,74.94864
E_2_2_8,110.75916
E_2_2_9,87.66458
E_2_2_10,81.05544
E_2_2_11,119.28802
E_2_2_12,116.63872
E_2_2_13,118.77906
E_2_2_14,117.18226
E_2_2_15,120.1988
E_2_2_16,129.6335
E_2_2_17,87.3533
E_2_2_18,100.35796
E_2_2_19,123.74995
E_2_2_20,145.25255
E_2_2_21,499.702
E_2_3_1,123.86435
E_2_3_2,146.2082
E_2_3_3,121.24835
E_2_3_4,112.55104
E_2_3_5,134.2514
E_2_3_6,141.65335
E_2_3_7,117.49198
E_2_3_8,148.59685
E_2_3_9,151.8085
E_2_3_10,100.67892
E_2_3_11,132.0577
E_2_3_12,113.83242
E_2_3_13,147.5298
E_2_3_14,135.5264
E_2_3_15,156.92055
E_2_3_16,127.79435
E_2_3_17,132.7683
E_2_3_18,120.5078
E_2_3_19,125.6947
E_2_3_20,133.78505
E_2_3_21,323.126
E_2_4_1,94.8127
E_2_4_2,95.03748
E_2_4_3,83.93784
E_2_4_4,71.7561
E_2_4_5,93.00212
E_2_4_6,73.92906
E_2_4_7,84.83076
E_2_4_8,67.62984
E_2_4_9,75.92202
E_2_4_10,78.92738
E_2_4_11,77.91098
E_2_4_12,94.89962
E_2_4_13,105.14348
E_2_4_14,108.13736
E_2_4_15,90.57822
E_2_4_16,108.91902
E_2_4_17,100.38974
E_2_4_18,87.95052
E_2_4_19,111.20146
E_2_4_20,100.02316
E_2_4_21,299.505
E_2_5_1,135.2117
E_2_5_2,95.11548
E_2_5_3,95.54376
E_2_5_4,124.1849
E_2_5_5,119.26992
E_2_5_6,151.5585
E_2_5_7,149.1213
E_2_5_8,132.01845
E_2_5_9,149.60035
E_2_5_10,105.19422
E_2_5_11,164.5462
E_2_5_12,105.2324
E_2_5_13,161.34345
E_2_5_14,114.70624
E_2_5_15,150.49535
E_2_5_16,141.43145
E_2_5_17,110.9878
E_2_5_18,130.12265
E_2_5_19,128.22175
E_2_5_20,112.6026
E_2_5_21,545.3
E_2_6_1,79.1558
E_2_6_2,82.9809
E_2_6_3,104.24068
E_2_6_4,85.7101
E_2_6_5,93.6706
E_2_6_6,62.90902
E_2_6_7,103.25802
E_2_6_8,102.67544
E_2_6_9,111.70544
E_2_6_10,86.35818
E_2_6_11,89.30492
E_2_6_12,105.2963
E_2_6_13,140.27985
E_2_6_14,116.44768
E_2_6_15,100.40608
E_2_6_16,111.33616
E_2_6_17,108.46316
E_2_6_18,105.15272
E_2_6_19,118.6006
E_2_6_20,105.3707
E_2_6_21,432.244
E_2_7_1,127.5997
E_2_7_2,127.37255
E_2_7_3,96.23368
E_2_7_4,101.52956
E_2_7_5,122.2451
E_2_7_6,132.0354
E_2_7_7,116.89812
E_2_7_8,125.84245
E_2_7_9,133.47115
E_2_7_10,125.11735
E_2_7_11,119.53778
E_2_7_12,132.77945
E_2_7_13,85.88502
E_2_7_14,108.65892
E_2_7_15,96.75752
E_2_7_16,75.70344
E_2_7_17,129.69265
E_2_7_18,156.0121
E_2_7_19,176.94795
E_2_7_20,138.59725
E_2_7_21,747.3
E_2_8_1,95.30006
E_2_8_2,63.20244
E_2_8_3,88.1327
E_2_8_4,88.54902
E_2_8_5,83.73294
E_2_8_6,86.3424
E_2_8_7,92.34024
E_2_8_8,73.76448
E_2_8_9,94.117
E_2_8_10,102.1827
E_2_8_11,68.70536
E_2_8_12,124.66245
E_2_8_13,112.53774
E_2_8_14,80.71342
E_2_8_15,82.63648
E_2_8_16,122.58975
E_2_8_17,106.16718
E_2_8_18,85.39696
E_2_8_19,119.70018
E_2_8_20,107.5135
E_2_8_21,562.7
E_2_9_1,112.27488
E_2_9_2,95.93274
E_2_9_3,113.82938
E_2_9_4,106.6659
E_2_9_5,135.52395
E_2_9_6,120.3505
E_2_9_7,111.85712
E_2_9_8,145.63425
E_2_9_9,132.2979
E_2_9_10,134.6455
E_2_9_11,134.3931
E_2_9_12,129.17235
E_2_9_13,131.80525
E_2_9_14,132.3434
E_2_9_15,135.4058
E_2_9_16,132.94725
E_2_9_17,126.0181
E_2_9_18,155.3659
E_2_9_19,137.6423
E_2_9_20,143.18225
E_2_9_21,777.4
E_2_10_1,170.86165
E_2_10_2,100.65028
E_2_10_3,92.30466
E_2_10_4,89.16216
E_2_10_5,79.82804
E_2_10_6,74.57766
E_2_10_7,88.02174
E_2_10_8,79.14804
E_2_10_9,97.12136
E_2_10_10,83.63484
E_2_10_11,85.65384
E_2_10_12,130.79645
E_2_10_13,92.43676
E_2_10_14,122.09665
E_2_10_15,92.88938
E_2_10_16,103.46306
E_2_10_17,97.9121
E_2_10_18,123.68475
E_2_10_19,122.24725
E_2_10_20,94.47874
E_2_10_21,419.8
E_2_11_1,228.012
E_2_11_2,150.65905
E_2_11_3,177.22495
E_2_11_4,143.08645
E_2_11_5,138.8964
E_2_11_6,129.55725
E_2_11_7,137.13995
E_2_11_8,132.783
E_2_11_9,123.77355
E_2_11_10,141.37805
E_2_11_11,138.9095
E_2_11_12,137.31475
E_2_11_13,110.62052
E_2_11_14,103.2415
E_2_11_15,106.28278
E_2_11_16,83.3048
E_2_11_17,116.52708
E_2_11_18,109.96368
E_2_11_19,116.4402
E_2_11_20,116.16
E_2_11_21,620.2
E_2_12_1,111.99022
E_2_12_2,64.9881
E_2_12_3,67.14366
E_2_12_4,71.02972
