ID,Tube,Initial,Final
L_2_18_6,12.67114,1.7475,14.22953
L_2_18_7,12.42936,1.8922,14.12328
L_2_18_8,12.54862,2.07078,14.40809
L_2_18_9,12.70132,1.98285,14.48535
L_2_18_10,12.71626,1.92217,14.44395
L_2_18_11,12.80394,2.14366,14.7187
L_1_1_1,12.49211,1.69306,13.97072
L_1_1_2,12.51646,1.54493,13.87133
L_1_1_3,12.44182,1.68063,13.91625
L_1_1_4,12.73673,1.61976,14.17937
L_1_1_5,12.50099,1.61081,13.92837
L_1_1_6,12.5083,1.65899,13.98939
L_1_1_7,12.73102,1.66162,14.20627
L_1_1_8,12.65961,1.61181,14.101
L_1_1_9,12.49609,1.6857,13.95522
L_1_1_10,12.7246,1.62454,14.17116
L_1_2_1,12.70758,1.69107,14.17573
L_1_2_2,12.73048,1.652,14.18319
L_1_2_3,12.50193,1.63167,13.94728
L_1_2_4,12.46205,1.72819,14.00325
L_1_2_5,12.52784,1.66416,14.00556
L_1_2_6,12.45371,1.62288,13.89726
L_1_2_7,12.50686,1.63276,13.97327
L_1_2_8,12.51921,1.75403,14.08088
L_1_2_9,12.53276,1.69438,14.04481
L_1_2_10,12.77136,1.66012,14.25735
L_2_1_1,12.76569,1.66419,14.15987
L_2_1_2,12.45393,1.73392,13.98239
L_2_1_3,12.4279,1.73876,13.96158
L_2_1_4,12.46173,1.80902,14.06321
L_2_1_5,12.51452,1.62345,13.95069
L_2_1_6,12.49639,1.56478,13.87879
L_2_1_7,12.60076,1.79084,14.1921
L_2_1_8,12.68433,1.74584,14.25695
L_2_1_9,12.72255,1.74108,14.27559
L_2_1_10,12.48599,1.81182,14.09974
L_2_1_11,12.50121,1.67934,14.02159
L_2_2_1,12.48017,1.82474,14.07454
L_2_2_2,12.50151,1.75961,14.05379
L_2_2_3,12.47378,1.59491,13.88
L_2_2_4,12.44809,1.66125,13.92591
L_2_2_5,12.70917,1.78339,14.29979
L_2_2_6,12.47032,1.66856,13.94924
L_2_2_7,12.44222,1.75855,13.98803
L_2_2_8,12.55302,1.73523,14.09494
L_2_2_9,12.47427,1.84504,14.12629
L_2_2_10,12.49924,1.90162,14.23123
L_2_3_1,12.45717,1.80183,14.06331
L_2_3_2,12.48771,1.69497,13.974
L_2_3_3,12.51794,1.66441,13.99364
L_2_3_4,12.44803,1.67538,13.93812
L_2_3_5,12.71677,1.66428,14.20224
L_2_3_6,12.51422,1.70041,14.03385
L_2_3_7,12.44103,1.7582,14.02102
L_2_3_8,12.43819,1.75877,14.02468
L_2_3_9,12.5453,1.6351,14.02156
L_2_3_10,12.46813,1.55574,13.85389
L_2_7_1,12.52359,1.87177,14.17374
L_2_7_2,12.48108,1.97797,14.247
L_2_7_3,12.73315,2.19069,14.71077
L_2_7_4,12.4393,1.99005,14.21294
L_2_7_5,12.55208,1.90405,14.25156
L_2_7_6,12.44761,1.98741,14.22648
L_2_7_7,12.5092,1.91675,14.23476
L_2_7_8,12.49948,2.03502,14.3324
L_2_7_9,12.7791,2.20628,14.77766
L_2_7_10,12.66011,2.11454,14.56679
L_2_7_11,12.57316,1.84551,14.20016
L_1_3_1,12.51973,1.80974,14.03887
L_1_3_2,12.54976,1.73691,14.05179
L_1_3_3,12.44721,1.73148,13.96688
L_1_3_4,12.55168,1.64761,14.00732
L_1_3_5,12.53614,1.76894,14.09863
L_1_3_6,12.72092,1.61949,14.15766
L_1_3_7,12.73791,1.70149,14.25928
L_1_3_8,12.41037,1.70241,13.93473
L_1_3_9,12.54853,1.68582,14.05137
L_1_3_10,12.4841,1.57368,13.88204
L_1_4_1,12.51208,1.68244,13.92967
L_1_4_2,12.48072,1.74895,14.01072
L_1_4_3,12.5087,1.64527,13.96141
L_1_4_4,12.46627,1.74988,14.01472
L_1_4_5,12.61034,1.60514,14.02662
L_1_4_6,12.51803,1.71422,14.03848
L_1_4_7,12.46978,1.7616,14.04451
L_1_4_8,12.69058,1.85739,14.35127
L_1_4_9,12.4544,1.74897,14.01448
L_1_4_10,12.48717,1.72708,14.0157
L_1_4_11,12.53747,1.68677,14.04602
L_2_4_1,12.67876,2.14192,14.42544
L_2_4_2,12.69301,1.62368,14.09947
L_2_4_3,12.44035,1.67761,13.913
L_2_4_4,12.47037,1.6832,13.94673
L_2_4_5,12.71084,1.588,14.10874
L_2_4_6,12.47225,1.72533,13.998
L_2_4_7,12.48985,1.73171,14.01975
L_2_4_8,12.48713,1.7215,14.01861
L_2_4_9,12.59992,1.74347,14.15102
L_2_4_10,12.6986,1.64299,14.16086
L_2_4_11,12.68337,1.70535,14.20572
L_2_5_1,12.65691,2.47814,14.6549
L_2_5_2,12.55758,1.57685,13.94543
L_2_5_3,12.50281,1.70307,14.00199
L_2_5_4,12.70361,1.66944,14.17231
L_2_5_5,12.49618,1.64912,13.9527
L_2_5_6,12.46989,1.64521,13.91399
L_2_5_7,12.46191,1.62704,13.9105
L_2_5_8,12.87562,1.70598,14.39605
L_2_5_9,12.51511,1.80746,14.13769
L_2_5_10,12.76328,1.67268,14.24309
L_2_6_1,12.45115,2.45123,14.25396
L_2_6_2,12.51121,1.57972,13.87898
L_2_6_3,12.49762,1.74892,14.03321
L_2_6_4,12.52748,1.70297,14.02815
L_2_6_5,12.42155,1.5462,13.77673
L_2_6_6,12.57553,1.81512,14.18367
L_2_6_7,12.55246,1.74913,14.11306
L_2_6_8,12.8224,1.92838,14.54607
L_2_6_9,12.50865,1.86498,14.1704
L_2_6_10,12.50736,1.71041,14.02895
L_2_6_11,12.77548,1.52709,14.10544
L_2_8_1,12.45184,2.24897,13.97835
L_2_8_2,12.50671,1.9717,14.23234
L_2_8_3,12.53998,1.72062,14.0528
L_2_8_4,12.51407,1.7103,14.03568
L_2_8_5,12.6842,1.82033,14.30764
L_2_8_6,12.45779,1.73209,14.01463
L_2_8_7,12.46651,1.69384,13.97881
L_2_8_8,12.51908,1.77,14.10908
L_2_8_9,12.49163,1.88014,14.17824
L_2_8_10,12.49155,1.92698,14.23123
L_2_8_11,12.50875,2.67393,14.89602
L_1_5_1,12.50414,2.71526,14.22272
L_1_5_2,12.69428,1.69563,14.1485
L_1_5_3,12.48484,1.56911,13.85556
L_1_5_4,12.40793,1.65296,13.86066
L_1_5_5,12.51131,1.73481,14.04181
L_1_5_6,12.44133,1.55409,13.81422
L_1_5_7,12.52157,1.72066,14.05047
L_1_5_8,12.51781,1.69895,14.02772
L_1_5_9,12.76232,1.66781,14.23912
L_1_5_10,12.48381,1.68214,13.97888
L_1_5_11,12.66011,1.74075,14.20897
L_1_6_1,12.45971,1.7888,13.4665
L_1_6_2,12.45441,1.62422,13.84574
L_1_6_3,12.40372,1.52508,13.73685
L_1_6_4,12.84153,1.67053,14.31298
L_1_6_5,12.44404,1.5618,13.81962
L_1_6_6,12.50856,1.60737,13.9242
L_1_6_7,12.46796,1.58056,13.86369
L_1_6_8,12.50129,1.57539,13.89474
L_1_6_9,12.51752,1.68255,13.9941
L_1_6_10,12.80561,1.72199,14.34175
L_1_6_11,12.49244,1.74083,14.04716
L_2_9_1,12.79338,1.651,14.14633
L_2_9_2,12.85536,1.60169,14.24021
L_2_9_3,12.51862,1.59925,13.92934
L_2_9_4,12.47051,1.57693,13.84699
L_2_9_5,12.41835,1.59087,13.80546
L_2_9_6,12.44671,1.56108,13.82475
L_2_9_7,12.49953,1.82079,14.11686
L_2_9_8,12.72066,1.67737,14.20624
L_2_9_9,12.43786,1.74066,13.96511
L_2_9_10,12.51128,1.84283,14.14921
L_2_9_11,12.70202,1.70687,14.22285
L_2_10_1,12.76838,1.57271,13.9684
L_2_10_2,12.47565,1.68439,13.94102
L_2_10_3,12.5334,1.59779,13.93877
L_2_10_4,12.75992,1.66947,14.23323
L_2_10_5,12.50356,1.60033,13.91884
L_2_10_6,12.72139,1.68184,14.21951
L_2_10_7,12.61467,1.87252,14.29692
L_2_10_8,12.77877,1.71175,14.31038
L_2_10_9,12.83857,1.74392,14.40077
L_2_10_10,12.86596,1.89746,14.5431
L_2_10_11,12.37315,1.79284,13.96998
L_2_11_1,12.84215,1.67081,14.2874
L_2_11_2,12.4822,1.74361,14.0223
L_2_11_3,12.77296,1.81815,14.38881
L_2_11_4,12.52201,1.67277,14.01519
L_2_11_5,12.47547,1.89091,14.19624
L_2_11_6,12.43306,1.78578,14.02458
L_2_11_7,12.76917,1.73027,14.32179
L_2_11_8,12.50864,2.24494,14.54241
L_2_11_9,12.45177,2.21057,14.44331
L_2_11_10,12.56968,1.74499,14.10957
L_2_12_1,12.47506,1.83711,14.0431
L_2_12_2,12.50443,1.65393,13.89815
L_2_12_3,12.69658,1.83842,14.30775
L_2_12_4,12.40312,1.81835,13.95939
L_2_12_5,12.43406,1.68117,13.93344
L_2_12_6,12.7457,1.84049,14.39237
L_2_12_7,12.50853,1.94678,14.24419
L_2_12_8,12.72949,1.85717,14.3814
L_2_12_9,12.70724,1.80127,14.30236
L_2_12_10,12.83714,1.52663,14.13582
L_1_7_1,12.74515,1.91035,14.38084
L_1_7_2,12.7833,1.78338,14.35626
L_1_7_3,12.47614,1.71335,13.99321
L_1_7_4,12.53591,1.72794,14.07981
L_1_7_5,12.65877,1.6726,14.15744
L_1_7_6,12.52314,1.71202,14.0609
L_1_7_7,12.51601,1.74263,14.08653
L_1_7_8,12.7118,1.68176,14.23042
L_1_7_9,12.74315,1.78639,14.35822
L_1_7_10,12.4329,1.79351,14.04768
L_1_8_1,12.73802,1.64478,14.13727
L_1_8_2,12.91234,1.77833,14.47748
L_1_8_3,12.6772,1.73851,14.21763
L_1_8_4,12.47708,1.79551,14.07277
L_1_8_5,12.50503,1.63472,13.96057
L_1_8_6,12.49173,1.61194,13.92456
L_1_8_7,12.48446,1.78836,14.08014
L_1_8_8,12.47129,1.74875,14.04118
L_1_8_9,12.78621,1.7511,14.36003
L_1_8_10,12.53959,1.75541,14.11675
L_1_9_1,12.47508,1.62441,13.82542
L_1_9_2,12.5285,1.66606,13.98961
L_1_9_3,12.78301,1.76179,14.34041
L_1_9_4,12.80462,1.73303,14.33953
L_1_9_5,12.39464,1.7005,13.90649
L_1_9_6,12.46582,1.74651,14.02681
L_1_9_7,12.87018,1.71608,14.40831
L_1_9_8,12.50066,1.89071,14.20489
L_1_9_9,12.36999,1.77211,13.97189
L_1_9_10,12.5025,1.77308,14.10216
L_1_9_11,12.69308,1.83275,14.33846
L_1_10_1,12.51584,1.68292,13.90207
L_1_10_2,12.79312,1.64447,14.22018
L_1_10_3,12.51632,1.80814,14.11498
L_1_10_4,12.48271,1.71322,14.01037
L_1_10_5,12.55103,1.71675,14.07999
L_1_10_6,12.8794,1.68112,14.37932
L_1_10_7,12.84385,1.59911,14.26794
L_1_10_8,12.4941,1.69424,14.01797
L_1_10_9,12.49287,1.80261,14.11472
L_1_10_10,12.50687,1.81439,14.13701
L_1_10_11,12.73226,1.83714,14.38473
L_1_11_1,12.47675,1.64112,13.77974
L_1_11_2,12.4978,1.68383,13.96964
L_1_11_3,12.69774,1.72384,14.21882
L_1_11_4,12.52429,1.72336,14.05893
L_1_11_5,12.69143,1.64448,14.15575
L_1_11_6,12.49751,1.74875,14.06123
L_1_11_7,12.50824,1.6642,13.99042
L_1_11_8,12.82226,1.74879,14.38273
L_2_13_1,12.42595,1.65555,13.77856
L_2_13_2,12.52588,1.23346,13.59439
L_2_13_3,12.51352,1.3224,13.67912
L_2_13_4,12.47877,1.42986,13.71766
L_2_13_5,12.52592,1.27191,13.65204
L_2_13_6,12.42492,1.3857,13.64873
L_2_13_7,12.77752,1.47132,14.09286
L_2_13_8,12.4959,1.37183,13.72131
L_2_13_9,12.51064,1.42023,13.78273
L_2_13_10,12.47822,1.30638,13.64035
L_2_14_1,12.50108,1.28963,13.47444
L_2_14_2,12.49618,1.19017,13.53415
L_2_14_3,12.80925,1.40762,14.05023
L_2_14_4,12.517,1.35103,13.71318
L_2_14_5,12.4763,1.28978,13.60976
L_2_14_6,12.60696,1.19516,13.66793
L_2_14_7,12.5256,1.37777,13.74256
L_2_14_8,12.4311,1.27274,13.56265
L_2_14_9,12.8133,1.24792,13.92956
L_2_14_10,12.81261,1.41609,14.08198
L_2_14_11,12.44155,1.42566,13.71328
E_C_1_1_21,12.50122,1.47022,13.11911
E_C_1_1_20,12.51721,1.40082,13.07429
E_C_1_1_19,12.42099,1.81803,13.08085
E_C_1_1_18,12.53364,1.86397,13.28095
E_C_1_1_17,12.54671,1.69619,13.22269
E_C_1_1_16,12.50631,1.9024,13.27607
E_C_1_1_15,12.51858,1.83066,13.27896
E_C_1_1_14,12.43433,1.28889,12.9898
E_C_1_1_13,12.51621,1.46317,13.16447
E_C_1_1_12,12.45335,1.95696,13.29742
E_C_1_1_11,12.53806,1.89262,13.35519
E_C_1_1_10,12.51976,1.70251,13.25441
E_C_1_1_9,12.4898,1.93569,13.32409
E_C_1_1_8,12.46173,1.66668,13.20858
E_C_1_1_7,12.62514,1.79218,13.4844
E_C_1_1_6,12.73504,1.63887,13.55347
E_C_1_1_5,12.53344,1.4109,13.23289
E_C_1_1_4,12.53276,1.86889,13.42484
E_C_1_1_3,12.44675,1.90259,13.3438
E_C_1_1_2,12.47957,1.95308,13.37961
E_C_1_1_1,12.50011,1.42936,13.10234
E_C_1_2_21,12.67461,1.52811,13.26785
E_C_1_2_20,12.44945,1.90583,13.15476
E_C_1_2_19,12.52419,1.48738,13.09819
E_C_1_2_18,12.48459,1.68626,13.10366
E_C_1_2_17,12.47682,1.6468,13.06589
E_C_1_2_16,12.7454,1.82153,13.35039
E_C_1_2_15,12.53961,1.82159,13.09174
E_C_1_2_14,12.53347,1.1375,12.8726
E_C_1_2_13,12.72789,1.81703,13.263
E_C_1_2_12,12.52196,1.66595,13.00336
E_C_1_2_11,12.49586,1.47465,12.81016
E_C_1_2_10,12.45178,1.66953,12.78995
E_C_1_2_9,12.5299,1.39658,12.73781
E_C_1_2_8,12.51268,1.80836,12.86064
E_C_1_2_7,12.45404,1.57758,12.76691
E_C_1_2_6,12.79621,1.95164,13.15815
E_C_1_2_5,12.90317,1.48777,13.14496
E_C_1_2_4,12.53712,1.96067,12.79473
E_C_1_2_3,12.53157,1.75126,12.72653
E_C_1_2_2,12.52955,1.6787,12.70808
E_C_1_2_1,12.80126,1.47134,12.9475
E_C_2_1_21,12.76794,1.91436,13.34174
E_C_2_1_20,12.47603,1.61528,12.98554
E_C_2_1_19,12.80196,1.63571,13.30703
E_C_2_1_18,12.51818,1.74315,13.05108
E_C_2_1_17,12.48217,1.75409,13.04727
E_C_2_1_16,12.81714,1.82499,13.38444
E_C_2_1_15,12.46578,1.38104,12.86847
E_C_2_1_14,12.51108,1.85606,13.07095
E_C_2_1_13,12.80155,1.85536,13.33927
E_C_2_1_12,12.816,1.45145,13.21076
E_C_2_1_11,12.51675,1.86479,12.94079
E_C_2_1_10,12.50601,1.72272,12.86138
E_C_2_1_9,12.49562,1.41351,12.76913
E_C_2_1_8,12.69866,1.97128,13.08847
E_C_2_1_7,12.46447,1.9903,12.8411
E_C_2_1_6,12.88635,1.86336,13.19717
E_C_2_1_5,12.69337,1.68261,12.95653
E_C_2_1_4,12.48149,1.70268,12.71562
E_C_2_1_3,12.50618,1.88456,12.78644
E_C_2_1_2,12.4817,1.68751,12.70908
E_C_2_1_1,12.80892,1.87799,13.03683
E_C_2_2_21,12.7624,1.63979,13.47259
E_C_2_2_20,12.51895,1.22305,12.9945
E_C_2_2_19,12.87857,1.79425,13.4943
E_C_2_2_18,12.42305,1.70246,12.94041
E_C_2_2_17,12.5019,1.71705,13.04231
E_C_2_2_16,12.77803,1.92357,13.39044
E_C_2_2_15,12.51656,1.86568,13.17286
E_C_2_2_14,12.47423,1.86333,13.04752
E_C_2_2_13,12.41535,1.84019,13.00054
E_C_2_2_12,12.51168,1.73154,13.0455
E_C_2_2_11,12.55887,1.69973,13.01784
E_C_2_2_10,12.47446,1.7244,12.93023
E_C_2_2_9,12.7651,1.39432,13.10459
E_C_2_2_8,12.50635,1.79445,12.91414
E_C_2_2_7,12.49624,1.54018,12.83576
E_C_2_2_6,12.48524,1.85818,12.85177
E_C_2_2_5,12.46669,1.622,12.80123
E_C_2_2_4,12.44505,1.73281,12.81127
E_C_2_2_3,12.54635,1.444,12.87505
E_C_2_2_2,12.80402,1.31178,13.08891
E_C_2_2_1,12.48528,1.50502,12.81649
E_C_2_3_21,12.44315,1.96613,13.24101
E_C_2_3_20,12.79036,1.99018,13.60507
E_C_2_3_19,12.40917,1.85078,13.10578
E_C_2_3_18,12.89819,1.96176,13.6081
E_C_2_3_17,12.46696,1.75457,13.09706
E_C_2_3_16,12.67457,1.42723,13.1747
E_C_2_3_15,12.5369,1.93677,13.1687
E_C_2_3_14,12.43453,1.93936,13.02909
E_C_2_3_13,12.74767,1.77629,13.263
E_C_2_3_12,12.82355,1.66286,13.30624
E_C_2_3_11,12.45214,1.80564,12.87793
E_C_2_3_10,12.50918,1.95063,12.92639
E_C_2_3_9,12.52084,1.97948,12.89692
E_C_2_3_8,12.41015,1.52621,12.68074
E_C_2_3_7,12.78036,1.84219,13.13113
E_C_2_3_6,12.51842,1.77381,12.78957
E_C_2_3_5,12.48604,1.96949,12.75789
E_C_2_3_4,12.83835,1.81388,13.06995
E_C_2_3_3,12.48684,1.7168,12.7176
E_C_2_3_2,12.53637,1.90924,12.80121
E_C_2_3_1,12.50387,1.89822,12.74243
E_2_7_21,12.44405,1.55932,13.09642
E_2_7_20,12.49292,1.71562,13.13065
E_2_7_19,12.50793,1.66292,13.13884
E_2_7_18,12.8227,1.71665,13.51107
E_2_7_17,12.50233,1.94132,13.30025
E_2_7_16,12.72746,1.86422,13.51616
E_2_7_15,12.46394,1.6311,13.14727
E_2_7_14,12.43494,1.80995,13.21414
E_2_7_13,12.4865,1.91703,13.32193
E_2_7_12,12.46109,1.6119,13.16707
E_2_7_11,12.47811,1.74337,13.24331
E_2_7_10,12.45197,1.70911,13.24163
E_2_7_9,12.62373,1.72359,13.43894
E_2_7_8,12.49916,1.70564,13.29935
E_2_7_7,12.50293,1.94376,13.41355
E_2_7_6,12.80957,1.98786,13.75606
E_2_7_5,12.53893,1.83644,13.43427
E_2_7_4,12.53588,1.65607,13.33864
E_2_7_3,12.4773,1.85335,13.35074
E_2_7_2,12.41506,1.73133,13.21646
E_2_7_1,12.60867,1.9525,13.47221
E_1_9_21,12.67878,1.71092,13.48815
E_1_9_20,12.46579,1.57818,13.11626
E_1_9_19,12.53857,1.35573,13.09149
E_1_9_18,12.46672,1.79071,13.1048
E_1_9_17,12.84502,1.73768,13.42755
E_1_9_16,12.74598,1.52733,13.19215
E_1_9_15,12.69364,1.80331,13.17292
E_1_9_14,12.54543,1.64064,12.99692
E_1_9_13,12.48799,1.52984,12.90284
E_1_9_12,12.48356,1.59486,12.90761
E_1_9_11,12.46767,1.92392,12.98183
E_1_9_10,12.41744,1.73839,12.87267
E_1_9_9,12.43392,1.68626,12.85713
E_1_9_8,12.51353,1.43679,12.82895
E_1_9_7,12.48684,1.46821,12.77999
E_1_9_6,12.56695,1.84595,12.9347
E_1_9_5,12.42376,1.78011,12.77715
E_1_9_4,12.51294,1.76072,12.84583
E_1_9_3,12.50794,1.2898,12.74238
E_1_9_2,12.50743,1.65759,12.76837
E_1_9_1,12.8301,1.89643,13.06754
E_1_10_21,12.85434,1.51668,13.42294
E_1_10_20,12.5311,1.92638,13.2443
E_1_10_19,12.48754,1.89478,13.18693
E_1_10_18,12.47632,1.85109,13.15718
E_1_10_17,12.39688,1.67531,12.98953
E_1_10_16,12.51667,1.71088,13.11124
E_1_10_15,12.55572,1.62036,13.11552
E_1_10_14,12.54056,1.35869,13.05398
E_1_10_13,12.49738,1.40658,13.00668
E_1_10_12,12.81111,1.92141,13.5371
E_1_10_11,12.52647,1.5673,13.12693
E_1_10_10,12.50502,1.76387,13.18417
E_1_10_9,12.52348,1.76736,13.23055
E_1_10_8,12.48316,1.80731,13.21947
E_1_10_7,12.46965,1.63258,13.16905
E_1_10_6,12.51156,1.40318,13.11176
E_1_10_5,12.51954,1.93835,13.31379
E_1_10_4,12.44642,1.74355,13.27838
E_1_10_3,12.45864,1.64275,13.25053
E_1_10_2,12.45576,1.79798,13.27097
E_1_10_1,12.49665,1.53031,13.18052
E_2_12_21,12.51449,1.70902,13.12348
E_2_12_20,12.76479,1.85086,13.42679
E_2_12_19,12.46816,1.84975,13.14147
E_2_12_18,12.45458,1.66231,13.07193
E_2_12_17,12.82594,1.35438,13.29862
E_2_12_16,12.82424,1.8198,13.48292
E_2_12_15,12.85844,1.80031,13.53151
E_2_12_14,12.74381,1.49053,13.32692
E_2_12_13,12.37641,1.98983,13.1403
E_2_12_12,12.49525,1.84466,13.14847
E_2_12_11,12.79155,1.71351,13.27641
E_2_12_10,12.52427,1.48169,12.91218
E_2_12_9,12.45705,1.47091,12.80718
E_2_12_8,12.48978,1.88912,12.89703
E_2_12_7,12.78352,1.87726,13.13839
E_2_12_6,12.46832,1.97653,12.81657
E_2_12_5,12.50402,1.49118,12.72345
E_2_12_4,12.7708,1.70956,12.97942
E_2_12_3,12.91111,1.65189,13.09858
E_2_12_2,12.78175,1.63666,12.97953
E_2_12_1,12.9257,1.6125,13.12919
E_1_11_21,12.8038,1.92473,13.43704
E_1_11_20,12.74524,1.61771,13.26816
E_1_11_19,12.84351,1.90839,13.4404
E_1_11_18,12.82319,1.8088,13.37398
E_1_11_17,12.85536,1.73701,13.35555
E_1_11_16,12.71672,1.90929,13.29124
E_1_11_15,12.83141,1.66356,13.33631
E_1_11_14,12.8076,1.60323,13.24985
E_1_11_13,12.84193,1.2614,13.17846
E_1_11_12,12.8078,1.55531,13.2354
E_1_11_11,12.87529,1.46701,13.24584
E_1_11_10,12.8853,1.75384,13.28475
E_1_11_9,12.81157,1.61313,13.15211
E_1_11_8,12.73307,1.52619,13.05208
E_1_11_7,12.79495,1.82032,13.13802
E_1_11_6,12.85151,1.78584,13.16538
E_1_11_5,12.75882,1.89903,13.05045
E_1_11_4,12.93214,1.88228,13.16518
E_1_11_3,12.92161,1.97564,13.13314
E_1_11_2,12.83029,1.98735,13.04781
E_1_11_1,12.69459,1.99486,12.91151
E_1_8_21,12.8883,1.85113,13.69146
E_1_8_20,12.85914,1.87015,13.70317
E_1_8_19,12.81013,1.85406,13.64821
E_1_8_18,12.84376,1.96228,13.71954
E_1_8_17,12.89865,1.9389,13.75481
E_1_8_16,12.93854,1.96542,13.81131
E_1_8_15,12.90163,1.93213,13.77325
E_1_8_14,12.9456,1.94137,13.80777
E_1_8_13,12.75875,1.91504,13.52648
E_1_8_12,12.76333,1.78934,13.43875
E_1_8_11,12.97357,1.86636,13.62769
E_1_8_10,12.81424,1.73743,13.49881
E_1_8_9,12.74564,1.95499,13.65368
E_1_8_8,12.98942,1.93564,13.9357
E_1_8_7,12.76664,1.97461,13.78539
E_1_8_6,12.90127,1.94873,13.89422
E_1_8_5,12.78495,1.74621,13.64834
E_1_8_4,12.74382,1.94194,13.66282
E_1_8_3,12.87656,1.82518,13.70539
E_1_8_2,12.81132,1.92915,13.6604
E_1_8_1,12.79511,1.77136,13.49481
E_2_10_21,12.85603,1.95164,13.72774
E_2_10_20,12.83971,1.8119,13.57988
E_2_10_19,12.90583,1.98049,13.7076
E_2_10_18,12.81941,1.88003,13.52902
E_2_10_17,12.66412,1.69085,13.24409
E_2_10_16,12.91019,1.95085,13.483
E_2_10_15,12.63705,1.65413,13.06806
E_2_10_14,12.8655,1.80532,13.30856
E_2_10_13,12.79476,1.809,13.25066
E_2_10_12,12.78103,1.78424,13.20555
E_2_10_11,12.8739,1.94643,13.28869
E_2_10_10,12.86292,1.95795,13.25859
E_2_10_9,12.77269,1.83076,13.10568
E_2_10_8,12.89894,1.76066,13.20029
E_2_10_7,12.81519,1.67186,13.07812
E_2_10_6,12.8024,1.93526,13.07499
E_2_10_5,12.79638,1.64603,13.01374
E_2_10_4,12.72748,1.89761,12.95852
E_2_10_3,12.62011,1.72232,12.80705
E_2_10_2,12.7791,1.77761,12.96469
E_2_10_1,12.92324,1.95998,13.13285
E_1_12_21,12.80027,1.94873,13.60983
E_1_12_20,12.85442,1.7904,13.56966
E_1_12_19,12.79567,1.70908,13.47813
E_1_12_18,12.72758,1.97597,13.51138
E_1_12_17,12.90849,1.89403,13.63712
E_1_12_16,12.83845,1.78312,13.51103
E_1_12_15,12.93533,1.78289,13.57666
E_1_12_14,12.43902,1.5196,12.98134
E_1_12_13,12.85019,1.90026,13.4958
E_1_12_12,12.85011,1.93465,13.53502
E_1_12_11,12.43247,1.88717,13.11625
E_1_12_10,12.52812,1.86181,13.233
E_1_12_9,12.4899,1.92489,13.27854
E_1_12_8,12.50003,1.53628,13.14706
E_1_12_7,12.78193,1.92712,13.64787
E_1_12_6,12.4963,1.87827,13.43349
E_1_12_5,12.82115,1.8073,13.70083
E_1_12_4,12.76399,1.99049,13.74532
E_1_12_3,12.52228,1.9284,13.44668
E_1_12_2,12.52132,1.80812,13.3923
E_1_12_1,12.82793,1.94911,13.66152
E_1_13_21,12.71056,1.65303,13.39833
E_1_13_20,12.47771,1.54,13.09821
E_1_13_19,12.49417,1.76554,13.13941
E_1_13_18,12.52034,1.75207,13.13228
E_1_13_17,12.67903,1.92823,13.3567
E_1_13_16,12.43373,1.94882,13.14111
E_1_13_15,12.48849,1.7117,13.10856
E_1_13_14,12.50754,1.82276,13.18643
E_1_13_13,12.45544,1.82578,13.12804
E_1_13_12,12.50054,1.75512,13.14058
E_1_13_11,12.91858,1.76085,13.5117
